,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
17300,49730,Black Mountain Radio,65181,The Radical Sloth,2024-02-21,9:41:37 PM,Trupa Trupa,AGAINST BREAKING HEART OF A BREAKING HEART BEAUTY,Jolly New Songs,0,0,,Moorworks,4560442772690,0,0,,,,,,,,,,,,
17301,49731,Black Mountain Radio,65181,The Radical Sloth,2024-02-21,9:45:36 PM,Captain Jazz,Untitled Due to Requirements on Digital Storefronts,The Want,0,0,,Captain Jazz,,0,0,,,,,,,,,,,,
17302,49732,Black Mountain Radio,65181,The Radical Sloth,2024-02-21,9:54:56 PM,Slint,Washer,Spiderland,0,0,Rock,Touch and Go Records,036172076451,0,0,0.433,0.0954,0.0954,-24.127,0.0,0.0302,0.378,0.521,0.0852,0.0384,110.054,530027.0
17303,49733,Black Mountain Radio,65181,The Radical Sloth,2024-02-21,9:58:06 PM,The Messthetics,The Inner Ocean,The Messthetics,0,0,,Dischord Records,0643859186022,0,0,0.268,0.317,0.317,-11.387,0.0,0.0284,0.297,0.264,0.0766,0.124,81.593,362115.0
17304,49734,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:02:39 PM,Don Leisure,Walk with Us,Beyond the Midnight Sun,0,0,Jazz,First Word Records,5050580813649,0,0,,,,,,,,,,,,
17305,49735,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:04:05 PM,Little Simz,Mood Swings,Drop 7,0,0,Hip Hop/Rap,Forever Living Originals,0197190932102,0,0,,,,,,,,,,,,
17306,49736,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:05:44 PM,Little Simz,Mood Swings,Drop 7,0,0,Hip Hop/Rap,Forever Living Originals,,0,0,,,,,,,,,,,,
17307,49737,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:06:44 PM,Little Simz,SOS,Drop 7,0,0,Hip Hop/Rap,Forever Living Originals,197190932102,0,0,,,,,,,,,,,,
17308,49738,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:10:33 PM,Cowgirl Clue,Trust Fall,Rodeo Star,0,0,Country,Vada Vada,197953966139,0,0,,,,,,,,,,,,
17309,49739,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:12:28 PM,underscores,Locals (Girls like us) [with gabby start],Locals (Girls like us) [with gabby start],0,0,Electronic,Mom+Pop,,0,0,0.722,0.683,0.683,-5.538,1.0,0.175,0.0113,0.0,0.0942,0.514,133.966,258085.0
17310,49740,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:17:11 PM,JW Francis,Orbit,Orbit - Single,1,0,Rock,Born Losers Records,197190760729,0,0,,,,,,,,,,,,
17311,49741,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:20:17 PM,Sufjan Stevens,Goodbye Evergreen,Javelin,0,0,Rock,Asthmatic Kitty,729920165827,0,0,0.483,0.427,0.427,-8.427,1.0,0.0355,0.554,0.000117,0.186,0.104,115.938,215425.0
17312,49742,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:23:35 PM,Whitney,No Woman,Light Upon the Lake,0,0,Rock,Lead Riders / Secretly Canadian,,0,0,0.586,0.4,0.4,-8.739,1.0,0.0289,0.893,0.578,0.161,0.43,112.33,237973.0
17313,49743,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:27:41 PM,Car Seat Headrest,Maud Gone,Teens of Style,0,0,Rock,Matador,744861108863,0,0,0.53,0.362,0.362,-7.078,1.0,0.0271,0.0258,0.000608,0.101,0.211,105.013,358240.0
17314,49744,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:34:52 PM,Grandaddy,Cabin in My Mind,Blu Wav,1,0,Rock,Dangerbird Records,842803027262,0,0,0.414,0.379,0.379,-10.634,1.0,0.0259,0.395,0.18,0.153,0.12,147.983,210854.0
17315,49745,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:37:44 PM,Grandaddy,Long as I'm Not the One,Blu Wav,1,0,Rock,Dangerbird Records,842803027262,0,0,0.549,0.452,0.452,-7.937,1.0,0.0243,0.113,0.677,0.247,0.143,98.011,275317.0
17316,49746,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:42:09 PM,Luna Li,Trying,Duality,0,0,Rock,In Real Life Music,5056167169482,0,0,,,,,,,,,,,,
17317,49747,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:46:07 PM,MJ Lenderman,TV Dinners,Knockin' - EP,0,0,Country,Dear Life Records,196321605397,0,0,,,,,,,,,,,,
17318,49748,Rapid Eye Music,169365,Dj Kat Nap,2024-02-21,10:50:37 PM,BADBADNOTGOOD,Love Proceeding (feat. Arthur Verocai),Talk Memory,0,0,Jazz,XL Recordings,191404117651,0,0,,,,,,,,,,,,
