,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
6400,38828,7 Minutes of Breathing,171927,glumbus,2024-01-20,11:37:38 PM,Isaiah J. Thompson,For Phineas,The Power of the Spirit,0,0,Jazz,ORCHARD - Blue Engine Records,197187730360,0,0,,,,,,,,,,,,
6401,38829,7 Minutes of Breathing,171927,glumbus,2024-01-20,11:44:54 PM,Laura Gibson,The Carob Trees,The Carob Trees (Single),0,0,Rock,Barsuk Records,887845167156,0,0,,,,,,,,,,,,
6402,38830,7 Minutes of Breathing,171927,glumbus,2024-01-20,11:48:33 PM,Joel Goodman,What Dreamers Dream,An Exquisite Moment,0,0,,A64 Records,617831939036,0,0,,,,,,,,,,,,
6403,38831,7 Minutes of Breathing,171927,glumbus,2024-01-20,11:56:13 PM,Alfredo Rodriguez,Sueño de Luz,Coral Way,0,0,Jazz,ORCHARD - Mack Avenue Records,673203119468,0,0,,,,,,,,,,,,
6404,38832,graveyard- LC,176442,dj lolo,2024-01-21,12:03:39 AM,The Mezingers,Some of it was true,Some of it Was True,1,0,Rock,Epitaph,,0,0,,,,,,,,,,,,
6405,38833,graveyard- LC,176442,dj lolo,2024-01-21,12:04:17 AM,Spanish Love Songs,Haunted,Haunted,1,0,Rock,ORCHARD - Pure Noise Records,,0,0,,,,,,,,,,,,
6406,38834,graveyard- LC,176442,dj lolo,2024-01-21,12:06:15 AM,The Drums,The Flowers,The Flowers,1,0,,MERLIN - Anti/Epitaph,0045778784462,0,0,,,,,,,,,,,,
6407,38835,graveyard- LC,176442,dj lolo,2024-01-21,12:10:38 AM,IDLES,Grace,Grace,1,0,Rock,Liberator Music / Partisan Records,9341004127913,0,0,,,,,,,,,,,,
6408,38836,graveyard- LC,176442,dj lolo,2024-01-21,12:15:22 AM,Saint Albums,Better at Kissing,You Don't Have To Sing Alone,1,0,,Lonely Highway,193667415994,0,0,0.375,0.864,0.864,-10.022,1.0,0.281,0.506,0.265,0.278,0.474,110.118,207818.0
6409,38837,graveyard- LC,176442,dj lolo,2024-01-21,12:20:10 AM,Myrkur,Spine,Spine,1,0,Rock,Relapse Records,781676475117,0,0,,,,,,,,,,,,
6410,38838,graveyard- LC,176442,dj lolo,2024-01-21,12:24:44 AM,Honey & Soul,Pleasure,Pleasure,1,0,Rock,DISTROKID,,0,0,,,,,,,,,,,,
6411,38839,graveyard- LC,176442,dj lolo,2024-01-21,12:26:49 AM,Bee Blackwell,Nostalgia Song,Calico,1,0,,emobabyman records,198093342746,0,0,,,,,,,,,,,,
6412,38840,graveyard- LC,176442,dj lolo,2024-01-21,12:30:43 AM,Cage The Elephant,Portuguese Knife Fight,Tell Me I'm Pretty,0,0,,SME - RCA Records Label,886445675870,1,0,0.56,0.928,0.928,-4.594,1.0,0.0559,0.00144,0.00295,0.318,0.615,115.204,217893.0
6413,38841,graveyard- LC,176442,dj lolo,2024-01-21,12:34:20 AM,Radiohead,Just,The Bends,0,0,Rock,Parlophone UK,5099921210754,1,0,,,,,,,,,,,,
6414,38842,graveyard- LC,176442,dj lolo,2024-01-21,12:38:13 AM,R.E.M.,9-9,Murmur - Deluxe Edition,0,0,,Universal Music New Zealand Limited,82839719520,1,0,,,,,,,,,,,,
6415,38843,graveyard- LC,176442,dj lolo,2024-01-21,12:41:22 AM,Lunar Vacation,Blue Honey,Swell,0,0,,DISTROKID,194838251502,0,0,0.44,0.579,0.579,-13.841,0.0,0.0555,0.0263,0.0157,0.345,0.503,159.921,154960.0
6416,38844,graveyard- LC,176442,dj lolo,2024-01-21,12:44:07 AM,Soccer Mommy,circle the drain,color theory,0,0,,UMG - Loma Vista Recordings,00888072157361,0,0,,,,,,,,,,,,
6417,38845,graveyard- LC,176442,dj lolo,2024-01-21,12:48:48 AM,Big Thief,Shark Smile,Capacity,0,0,Rock,MERLIN - Saddle Creek,648401025590,0,0,,,,,,,,,,,,
6418,38846,graveyard- LC,176442,dj lolo,2024-01-21,12:52:03 AM,The 1975,Talk!,The 1975,0,0,,SME - Dirty Hit Ltd,886444120913,1,0,,,,,,,,,,,,
6419,38847,graveyard- LC,176442,dj lolo,2024-01-21,12:54:53 AM,Wolf Alice,Nosedive,Blush EP,0,0,,SME - Dirty Hit/RCA Records,886448255130,0,0,,,,,,,,,,,,
6420,38848,graveyard- LC,176442,dj lolo,2024-01-21,12:58:48 AM,ROLE MODEL,a little more time,a little more time,0,0,,UMG - Benny Blanco Mad Love,00602455291066,0,0,0.518,0.49,0.49,-7.437,1.0,0.0281,0.404,0.0377,0.112,0.248,79.992,210203.0
6421,38849,graveyard- LC,176442,dj lolo,2024-01-21,1:02:19 AM,Luke Hemmings,Repeat,When Facing the Things We Turn Away From,0,0,,SME - Sony Music Entertainment,886449397457,0,0,,,,,,,,,,,,
6422,38850,graveyard- LC,176442,dj lolo,2024-01-21,1:08:48 AM,Rex Orange County,Waiting Room,Apricot Princess,0,0,,MERLIN - Rex Orange County,5060450063043,0,0,,,,,,,,,,,,
6423,38851,graveyard- LC,176442,dj lolo,2024-01-21,1:16:29 AM,Paramore,Crave,This Is Why,0,0,Rock,Atlantic Records,075679716224,1,0,,,,,,,,,,,,
6424,38852,graveyard- LC,176442,dj lolo,2024-01-21,1:16:47 AM,jesse rutherford,BFF,&,0,0,,SME - Columbia,886446822815,0,0,,,,,,,,,,,,
6425,38853,graveyard- LC,176442,dj lolo,2024-01-21,1:19:46 AM,mehro,green felt,alchemy,0,0,,Heroine Music Group LLC,1963620722846,0,0,0.659,0.549,0.549,-6.886,1.0,0.0299,0.554,0.0156,0.0953,0.539,98.939,140998.0
6426,38854,graveyard- LC,176442,dj lolo,2024-01-21,1:22:08 AM,Inhaler,Valentine,Cuts & Bruises,0,0,,UMG - Polydor Records,00602448738820,0,0,,,,,,,,,,,,
