,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
13900,46330,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:05:38 PM,Squid,Global Groove,Bright Green Field,0,0,Rock,Warp Records,0801061031435,0,0,,,,,,,,,,,,
13901,46331,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:10:05 PM,A. Savage,"Black Holes, the Stars and You","Black Holes, the Stars and You",1,0,,MERLIN - Rough Trade,5059638436182,0,0,0.657,0.434,0.434,-8.199,1.0,0.023,0.315,0.00467,0.114,0.496,95.993,313598.0
13902,46332,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:16:46 PM,False Tracks,Fragmentary Whispers,Hymn For Terror,1,0,,Strange Mono,0019591572919,0,0,0.462,0.85,0.85,-6.526,1.0,0.0514,0.000626,0.247,0.274,0.0387,145.053,189867.0
13903,46333,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:19:53 PM,Circolo Vizioso,Choppy,Choppy,1,0,,2811257 Records DK2,0019805833423,0,0,,,,,,,,,,,,
13904,46334,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:25:10 PM,Surgeon General,I Forgot (Alec Baldwin) (Live),I Forgot (Alec Baldwin) (Live),1,0,,Rascal Records,0198089799226,0,0,,,,,,,,,,,,
13905,46335,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:28:15 PM,Ovlov,"Cheer Up, Chihiro!",Buds,0,0,Rock,MERLIN - Exploding In Sound Records,0634457069756,0,0,0.22,0.83,0.83,-6.067,1.0,0.0546,0.0537,0.832,0.23,0.159,189.471,270359.0
13906,46336,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:32:43 PM,Robber Robber,Sea or War,Sea or War,1,1,Rock,DISTROKID,0019591291827,0,0,,,,,,,,,,,,
13907,46337,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:39:07 PM,Daneshevskaya,Ocean Breeze,Bury Your Horses,0,0,,Daneshevskaya and Many Hats Distribution,8720205836199,0,0,,,,,,,,,,,,
13908,46338,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:42:42 PM,Sweet Trip,To the Moon - 2021 Remaster,You Will Never Know Why (2021 Remaster),0,0,Electronic,ORCHARD - Darla,0708527202227,0,0,0.781,0.472,0.472,-10.96,0.0,0.0375,0.000691,0.781,0.0816,0.788,131.998,249976.0
13909,46339,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:46:49 PM,bar italia,harpee,Tracey Denim,0,0,,MERLIN - Matador,5059638408950,0,0,0.581,0.78,0.78,-4.674,0.0,0.029,0.0448,0.67,0.225,0.669,97.048,194087.0
13910,46340,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:50:00 PM,Stereolab,Slow Fast Hazel,Emperor Tomato Ketchup,0,0,,Duophonic / Warp Records,5060384616094,0,0,0.434,0.763,0.763,-5.575,0.0,0.0334,0.0641,0.221,0.322,0.753,145.872,246636.0
13911,46341,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:54:04 PM,PACKS,Say My Name,Crispy Crunchy Nothing,0,0,,MERLIN - Fire Talk,0634457121614,0,0,,,,,,,,,,,,
13912,46342,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:55:19 PM,feeble little horse,Paces,Girl with Fish,0,0,,MERLIN - Saddle Creek,0648401036565,0,0,0.548,0.626,0.626,-8.318,0.0,0.0401,0.624,4.42e-05,0.0945,0.496,118.115,164506.0
13913,46343,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,10:58:01 PM,The Last Dinner Party,My Lady of Mercy,My Lady Of Mercy,1,0,,Universal-Island Records Ltd.,00602458438567,0,0,0.327,0.592,0.592,-6.099,1.0,0.0415,0.00354,0.00525,0.0735,0.417,90.619,175411.0
13914,46344,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,11:04:49 PM,Ganser,Projector,Just Look At That Sky,0,0,,felte,0843563127131,0,0,,,,,,,,,,,,
13915,46345,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,11:07:49 PM,Dry Cleaning,Scratchcard Lanyard,New Long Leg,0,0,,MERLIN - 4AD,5059638325981,0,0,0.534,0.838,0.838,-5.011,0.0,0.038,0.00173,0.153,0.0784,0.779,151.439,246600.0
13916,46346,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,11:11:52 PM,Vanishing Twin,Life Drummer,Life Drummer,0,0,,Sub Pop Records,0098787157161,0,0,,,,,,,,,,,,
13917,46347,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-11,11:14:28 PM,Folly Group,Big Ground,Big Ground,1,0,,BELIEVE - So Young Records,5060998461165,0,0,,,,,,,,,,,,
