,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
5800,38228,Nightmare Paradise,171951,Adam Higgins,2024-01-19,12:57:04 AM,Grischa Lichtenberger,0811_09 re 0611_29_lv_1b,and IV [inertia],0,0,Electronic,Raster-Noton,887396483927,0,0,,,,,,,,,,,,
5801,38229,Nightmare Paradise,171951,Adam Higgins,2024-01-19,12:59:21 AM,Oihana Rodriguez,Gure sustrai,Soinuzko Begiradak - Take 2,1,0,Classical,MERLIN - IBS Classical,8436597700597,0,0,,,,,,,,,,,,
5802,38230,Nightmare Paradise,171951,Adam Higgins,2024-01-19,1:04:00 AM,Oihana Rodriguez,Bertso,Soinuzko Begiradak - Take 2,1,0,Classical,MERLIN - IBS Classical,,0,0,,,,,,,,,,,,
5803,38231,Nightmare Paradise,171951,Adam Higgins,2024-01-19,1:05:41 AM,Kevin Drumm,Idle Worship (Lights Out),Necro Acoustic,0,0,Electronic,Pica Disk,,0,0,,,,,,,,,,,,
5804,38232,Nightmare Paradise,171951,Adam Higgins,2024-01-19,1:22:20 AM,Francesco Cavaliere,Irradia A,Energia Nuvola,0,0,Electronic,Troglosound,,0,0,,,,,,,,,,,,
5805,38233,Nightmare Paradise,171951,Adam Higgins,2024-01-19,1:30:19 AM,RL Huber,Submersion,Animam Edere - EP,1,0,Classical,RL Huber,198026800855,0,0,,,,,,,,,,,,
5806,38234,Nightmare Paradise,171951,Adam Higgins,2024-01-19,1:33:00 AM,RL Huber,Animam Edere,Animam Edere - EP,1,0,Classical,RL Huber,198026800855,0,0,0.18,0.14,0.14,-19.581,1.0,0.0416,0.00167,0.946,0.148,0.03,61.839,125692.0
5807,38235,Nightmare Paradise,171951,Adam Higgins,2024-01-19,1:34:00 AM,Incapacitants,Please Don't Try This At Home (Live At No Music Festival 20030926),73,0,0,Electronic,Alchemy Records,,0,0,,,,,,,,,,,,
5808,38236,Nightmare Paradise,171951,Adam Higgins,2024-01-19,1:56:22 AM,Skin Graft,Unknown,Final Judgment,0,0,Electronic,White Centipede Noise,197813670770,0,0,,,,,,,,,,,,
5809,38237,Nightmare Paradise,171951,Adam Higgins,2024-01-19,2:00:00 AM,Benjamín Vergara & Amanda Irarrazabal,ultimo sosiego,Ultimo Sosiego,1,0,Classical,577 records,,0,0,,,,,,,,,,,,
5810,38238,"WRUV 1/19/24, 2:02 AM",64581,Program Director,2024-01-19,2:01:57 AM,Walt Weiskopf,Other Jewels,Other Jewels,0,0,Jazz,BELIEVE - amm,3616846143220,0,0,0.461,0.219,0.219,-10.488,1.0,0.0314,0.821,0.0597,0.217,0.175,106.692,347377.0
5811,38239,Nightmare Paradise,171951,Adam Higgins,2024-01-19,2:02:30 AM,Benjamín Vergara & Amanda Irarrazabal,en camino,Ultimo Sosiego,1,0,Classical,577 records,,0,0,,,,,,,,,,,,
5812,38240,"WRUV 1/19/24, 2:02 AM",64581,Program Director,2024-01-19,2:02:46 AM,vasiil4ss,Burn Rubber,Burn Rubber,0,0,,MERLIN - vasiil4ss,5063059006541,0,0,,,,,,,,,,,,
5813,38241,Nightmare Paradise,171951,Adam Higgins,2024-01-19,2:03:00 AM,Sophie,Burn Rubber,(never officially released),0,0,Electronic,(never officially released),,0,0,,,,,,,,,,,,
5814,38242,"WRUV 1/19/24, 2:02 AM",64581,Program Director,2024-01-19,2:07:44 AM,Ben Folds,Exhausting Lover,What Matters Most,0,0,,"MERLIN - New West Records, LLC",607396654536,1,0,0.754,0.667,0.667,-6.222,1.0,0.0486,0.185,0.0342,0.367,0.767,88.992,215420.0
5815,38243,"WRUV 1/19/24, 2:02 AM",64581,Program Director,2024-01-19,2:11:16 AM,Ural Thomas and the Pain,Gimme Some Ice Cream,Gimme Some Ice Cream,0,0,,Bella Union,5400863078980,0,0,0.846,0.631,0.631,-6.733,0.0,0.0286,0.0799,0.000137,0.0203,0.918,95.082,132853.0
5816,38244,"WRUV 1/19/24, 2:02 AM",64581,Program Director,2024-01-19,2:13:34 AM,G. Love & Special Sauce,Recipe,"Yeah, it's That Easy",0,0,,SME - Okeh/Epic,074646778425,0,0,,,,,,,,,,,,
5817,38245,"WRUV 1/19/24, 2:02 AM",64581,Program Director,2024-01-19,2:16:59 AM,Sara Caswell,Voyage,The Way to You,0,0,Jazz,"Anzic Records, LLC",658580047207,0,0,,,,,,,,,,,,
5818,38246,"WRUV 1/19/24, 2:02 AM",64581,Program Director,2024-01-19,2:21:28 AM,No Lemon,Inside My Head,No Lemon,0,0,Rock,DISTROKID - Gnome Squid Studios,196834336986,0,0,,,,,,,,,,,,
5819,38247,"WRUV 1/19/24, 2:02 AM",64581,Program Director,2024-01-19,2:24:44 AM,Loving,Medicine,Medicine,0,0,,Blue Heron Music,197999403209,0,0,,,,,,,,,,,,
5820,38248,"WRUV 1/19/24, 2:02 AM",64581,Program Director,2024-01-19,2:28:56 AM,Julia Nunes,No Sudden Moves,No Sudden Moves,0,0,,Rude Butler Records,193872343570,0,0,0.758,0.465,0.465,-10.137,1.0,0.0336,0.0715,0.00614,0.117,0.328,119.944,201055.0
5821,38249,"WRUV 1/19/24, 2:02 AM",64581,Program Director,2024-01-19,2:39:45 AM,Alfredo Rodriguez,La Bilirrubina,Coral Way,0,0,Jazz,Mack Avenue Records,673203119468,0,0,,,,,,,,,,,,
