,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
9200,41629,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,12:57:24 AM,Myrkur,Like Humans,Like Humans,1,0,Heavy Metal,ORCHARD - Relapse Records,781676475117,0,0,,,,,,,,,,,,
9201,41630,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:02:05 AM,Honey & Soul,Pleasure,Pleasure,1,0,Folk,DISTROKID,810482628438,0,0,,,,,,,,,,,,
9202,41631,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:12:14 AM,Waves Crashing,Rose Hue,Rose Hue,1,0,Electronic,DISTROKID,195334981573,0,0,,,,,,,,,,,,
9203,41632,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:12:40 AM,Aurora,Forgotten Love,Forgotten Love - Single,0,0,Electronic,Petroleum Records,886447258156,0,0,,,,,,,,,,,,
9204,41633,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:15:39 AM,The Revivalists,How We Move,Pour It Out Into The Night,0,0,,UMG - Concord Records,00888072517691,0,0,0.544,0.841,0.841,-5.632,0.0,0.0359,0.0159,1.55e-06,0.233,0.522,152.917,215933.0
9205,41634,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:19:16 AM,The Band,Atlantic City (Remastered),"The Best of, Vol. 2 (Remastered)",0,0,,Lohit,854750001035,1,0,0.579,0.746,0.746,-3.263,1.0,0.0256,0.297,5.06e-06,0.0713,0.767,97.621,296333.0
9206,41635,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:25:14 AM,The Menzingers,Come on Heartache,Come on Heartache,1,0,Rock,MERLIN - Epitaph,0045778801664,0,0,0.645,0.832,0.832,-4.69,1.0,0.0306,0.125,0.00167,0.0328,0.416,96.984,175950.0
9207,41636,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:28:07 AM,Say She She,Don't You Dare Stop,Reeling / Don't You Dare Stop,0,0,R&B/Soul,MERLIN - Karma Chief Records,617308047318,0,0,,,,,,,,,,,,
9208,41637,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:32:34 AM,Low Cut Connie,Rio,Get Out the Lotion,0,0,,Low Cut Connie,884502978285,0,0,,,,,,,,,,,,
9209,41638,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:38:00 AM,The Kinks,Lola - Coca Cola Version;2014 Remastered Version,"Lola vs. Powerman and the Moneygoround, Pt. One + Percy",0,0,Rock,Sanctuary Records,5414939519376,1,0,,,,,,,,,,,,
9210,41639,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:41:59 AM,Patti Drew,Hard To Handle,Mama's Got A Bag Of Her Own,0,0,,BELIEVE - M&M.,3614594949217,0,0,,,,,,,,,,,,
9211,41640,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:44:26 AM,The Staple Singers,Top Of The Mountain,Soul Folk In Action,0,0,R&B/Soul,Universal Music,00888072143197,0,0,,,,,,,,,,,,
9212,41641,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:47:23 AM,Elizabeth Cotten,Freight Train,Freight Train,0,0,,BELIEVE - Biloba Jazz,3616409645291,0,0,,,,,,,,,,,,
9213,41642,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:51:21 AM,Bay City Rollers,Bye Bye Baby,70s 100 Hits,0,0,,Sony Music Entertainment,828766523423,1,0,,,,,,,,,,,,
9214,41643,Getting Funky with DJ Punky,177494,Punky Drew,2024-01-29,1:54:07 AM,Pete Wingfield,A Whole Pot Of Jelly (For A Little Slice Of Toast),Breakfast Special,0,0,Rock,UMG - Universal-Island Records Ltd.,602438915552,0,0,0.778,0.295,0.295,-16.878,0.0,0.192,0.207,0.216,0.126,0.607,94.181,179509.0
9215,41644,"WRUV 1/29/24, 2:02 AM",64581,Program Director,2024-01-29,2:02:46 AM,Damien Jurado,Percy Faith,The Horizon Just Laughed,0,0,,Secretly Canadian,656605036571,0,0,,,,,,,,,,,,
9216,41645,"WRUV 1/29/24, 2:02 AM",64581,Program Director,2024-01-29,2:05:40 AM,XEN Miles,Save Me Pretty Baby,"Love, X",0,0,,Popular Beat Combo,859763765097,0,0,0.629,0.72,0.72,-4.898,1.0,0.124,0.0473,0.00152,0.382,0.537,158.994,297481.0
9217,41646,"WRUV 1/29/24, 2:02 AM",64581,Program Director,2024-01-29,2:10:35 AM,Samara Joy,I Miss You So,I Miss You So,0,0,Jazz,Verve,00602455527691,0,0,,,,,,,,,,,,
9218,41647,"WRUV 1/29/24, 2:02 AM",64581,Program Director,2024-01-29,2:14:09 AM,Spoon,Sugar Babies,Sugar Babies,0,0,,MERLIN - Matador,5059638366755,0,0,0.717,0.9,0.9,-7.416,0.0,0.0549,0.165,0.0469,0.157,0.833,90.774,345871.0
9219,41648,"WRUV 1/29/24, 2:02 AM",64581,Program Director,2024-01-29,2:19:59 AM,Sonny Greenwich,You Go to My Head - Live,Live At Sweet Basil,0,0,Jazz,WMG - Justin Time Records,068944002658,0,0,,,,,,,,,,,,
9220,41649,"WRUV 1/29/24, 2:02 AM",64581,Program Director,2024-01-29,2:28:33 AM,Jewel,Who Will Save Your Soul - Live At Colegio Oficial de Medicos de Madrid / 1999,Spirit (Deluxe Edition),0,0,,UMG - Craft Recordings,00888072544246,1,0,0.584,0.667,0.667,-9.293,1.0,0.104,0.432,0.000119,0.671,0.525,131.428,305705.0
9221,41650,"WRUV 1/29/24, 2:02 AM",64581,Program Director,2024-01-29,2:33:43 AM,Mitski,My Love Mine All Mine,The Land Is Inhospitable and So Are We,0,0,,MERLIN - Dead Oceans,656605165066,0,0,0.504,0.308,0.308,-14.958,1.0,0.0321,0.868,0.135,0.158,0.121,113.95,137773.0
9222,41651,"WRUV 1/29/24, 2:02 AM",64581,Program Director,2024-01-29,2:35:59 AM,Phoenix,After Midnight (feat. Clairo),After Midnight (feat. Clairo),0,0,Rock,Glassnote Entertainment Group LLC,197188165376,0,0,0.639,0.82,0.82,-5.986,1.0,0.0322,0.0153,0.00405,0.309,0.667,100.013,188000.0
9223,41652,"WRUV 1/29/24, 2:02 AM",64581,Program Director,2024-01-29,2:39:04 AM,Lagartijeando,Chakana Cosmica,Jallalla,0,0,,MERLIN - WONDERWHEEL RECORDINGS,192641302565,0,0,0.754,0.678,0.678,-10.771,1.0,0.0548,0.069,0.931,0.103,0.179,113.998,335203.0
9224,41653,"WRUV 1/29/24, 2:02 AM",64581,Program Director,2024-01-29,2:44:37 AM,Joe McCarthy's New York Afro Bop Alliance Big Band,The Pan American Nutcracker Suite,The Pan American Nutcracker Suite,0,0,Jazz,Angelface Records,198004155069,0,0,0.514,0.559,0.559,-8.208,1.0,0.155,0.0669,0.246,0.113,0.724,90.134,380783.0
