,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
4600,37028,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-15,9:18:40 AM,Al Green,Love and Happiness,I'm Still In Love With You,0,0,R&B/Soul,Hi Records Under Exclusive License to Fat Possum Records,767981113623,1,0,0.823,0.457,0.457,-10.961,1.0,0.234,0.206,0.000183,0.0763,0.735,99.163,307063.0
4601,37029,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-15,9:23:40 AM,Prince,It's Gonna Be Lonely,Prince,0,0,R&B/Soul,WMG - Warner Rhino Off Roster-Audio,075992740227,1,0,,,,,,,,,,,,
4602,37030,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-15,9:33:40 AM,Mavis Staples,You Are Not Alone,You Are Not Alone,0,0,R&B/Soul,MERLIN - Anti/Epitaph,0045778707669,1,0,,,,,,,,,,,,
4603,37031,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-15,9:37:29 AM,Darondo,Didn't I,Let My People Go,0,0,R&B/Soul,Luv N'Haight,889176052620,0,0,,,,,,,,,,,,
4604,37032,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-15,9:40:52 AM,Minnie Ripperton,Les Fleur,Downtown / Les Fleur,0,0,R&B/Soul,ORCHARD - Janus Records,196006072643,0,0,,,,,,,,,,,,
4605,37033,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-15,9:44:05 AM,Manu Chao,Me gustas tu,Once Upon a Time in Mexico,0,0,,Milan Records,731383603860,0,0,,,,,,,,,,,,
4606,37034,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-15,9:48:05 AM,CeeLo Green,Strawberry Letter 23,The Proud Family: Louder and Prouder (Music from the Series),0,0,,UMG - Walt Disney Records,050087508159,0,0,,,,,,,,,,,,
4607,37035,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-15,9:53:02 AM,Billy Preston,Nothing From Nothing,The Best Soul & Funk Collection: Extra,0,0,R&B/Soul,IMS,731454123129,1,0,0.808,0.83,0.83,-3.995,0.0,0.0283,0.613,0.0112,0.198,0.909,102.8,156200.0
4608,37036,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-15,9:55:38 AM,Courtney Barnett,Dead Fox,"Sometimes I Sit And Think, And Sometimes I Just Sit",0,0,Rock,Milk! Records,9332727033292,0,0,,,,,,,,,,,,
4609,37037,"WRUV 1/15/24, 10:00 AM",64581,Program Director,2024-01-15,10:00:39 AM,Stevie Wonder,Mr. Tambourine Man,Down To Earth,0,0,R & B,UMG - UNI/MOTOWN,00602577186349,1,0,,,,,,,,,,,,
4610,37038,"WRUV 1/15/24, 10:00 AM",64581,Program Director,2024-01-15,10:03:05 AM,Charles Bradley,Heart Of Gold,No Time For Dreaming,0,0,R&B/Soul,Daptone Records,885686737835,0,0,,,,,,,,,,,,
4611,37039,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-15,10:04:36 AM,Charles Bradley,Heart of Gold (feat. Menahan Street Band),Black Velvet (feat. Menahan Street Band),0,0,R&B/Soul,Daptone Records,192562857120,0,0,,,,,,,,,,,,
4612,37040,"WRUV 1/15/24, 10:00 AM",64581,Program Director,2024-01-15,10:09:17 AM,Eric Burdon,Spill The Wine,Boogie Nights / Music From The Original Motion Picture,0,0,Rock,Capitol Records,724385563157,1,0,,,,,,,,,,,,
4613,37041,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-15,10:10:17 AM,War,Spill the Wine,Anthology 1970-1974,0,0,R&B/Soul,Avenue Records,0602537518876,1,0,0.818,0.475,0.475,-12.88,0.0,0.0708,0.471,0.0,0.0943,0.902,120.378,246333.0
4614,37042,"WRUV 1/15/24, 10:00 AM",64581,Program Director,2024-01-15,10:12:53 AM,NEIL FRANCES,Energy,It's All a Bit Fuzzy,0,0,,Nettwerk Music Group,067003149051,0,0,,,,,,,,,,,,
4615,37043,"WRUV 1/15/24, 10:00 AM",64581,Program Director,2024-01-15,10:16:05 AM,Nick Waterhouse,Hide And Seek,Hide And Seek / The Fooler,0,0,R&B/Soul,MERLIN - Innovative Leisure,810874026170,0,0,,,,,,,,,,,,
4616,37044,"WRUV 1/15/24, 10:00 AM",64581,Program Director,2024-01-15,10:19:50 AM,Elvin Jones,Simone,The Capitol Vaults Jazz Series,0,0,Jazz,UMG - Blue Note Records,00724352538454,0,0,,,,,,,,,,,,
4617,37045,"WRUV 1/15/24, 10:00 AM",64581,Program Director,2024-01-15,10:26:20 AM,Don Leisure,Walk with Us,Beyond the Midnight Sun,0,0,Jazz,First Word Records,5050580813649,0,0,,,,,,,,,,,,
4618,37046,"WRUV 1/15/24, 10:00 AM",64581,Program Director,2024-01-15,10:29:54 AM,Kimi Djabaté,Sano,Dindin,0,0,,Cumbancha,853001008656,0,0,,,,,,,,,,,,
4619,37047,"WRUV 1/15/24, 10:00 AM",64581,Program Director,2024-01-15,10:33:53 AM,Phoebe Bridgers,So Much Wine,So Much Wine,0,0,,Dead Oceans,656605164366,1,0,0.524,0.501,0.501,-8.99,1.0,0.03,0.763,1.08e-05,0.102,0.386,126.017,243601.0
4620,37048,"WRUV 1/15/24, 10:00 AM",64581,Program Director,2024-01-15,10:42:15 AM,José González,Swing - Ants in the Pants Version,Local Valley (Deluxe),0,0,Electronic,WMG - Mute (Artist Intelligence),4250506844233,0,0,0.749,0.728,0.728,-11.691,1.0,0.0672,0.0265,0.865,0.0704,0.502,130.022,199040.0
4621,37049,"WRUV 1/15/24, 10:00 AM",64581,Program Director,2024-01-15,10:45:34 AM,Jamila Woods,Practice,Practice,0,0,,MERLIN - Jagjaguwar,656605244266,0,0,,,,,,,,,,,,
4622,37050,"WRUV 1/15/24, 10:00 AM",64581,Program Director,2024-01-15,10:48:48 AM,Chris Botti,My Funny Valentine,My Funny Valentine,0,0,Jazz,Blue Note Records,602455166210,0,0,,,,,,,,,,,,
4623,37051,Score keeper,160092,Vostalavista,2024-01-15,11:00:51 AM,Chicago,Beginnings - Remastered,Chicago Transit Authority,0,0,Rock,Rhino,081227617165,0,0,,,,,,,,,,,,
4624,37052,Score keeper,160092,Vostalavista,2024-01-15,11:02:10 AM,Jessie Baylin,That's the Way,That's the Way,0,0,Rock,Missing Piece Records,196925186797,0,0,,,,,,,,,,,,
