,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
12300,44729,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:03:57 AM,Alfredo Rodriguez,Coral Way,Coral Way,0,0,Jazz,ORCHARD - Mack Avenue Records,0673203119468,0,0,0.782,0.524,0.524,-10.377,1.0,0.0824,0.561,0.84,0.107,0.763,104.949,220000.0
12301,44730,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:07:36 AM,Supershy,Happy Music,Happy Music / Something on My Mind,0,0,Electronic,MERLIN - Beyond The Groove,5056167171560,0,0,0.777,0.737,0.737,-5.86,0.0,0.0351,0.0421,0.379,0.0265,0.891,123.993,232625.0
12302,44731,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:11:21 AM,Noel Gallagher's High Flying Birds,Easy Now,Easy Now,0,0,Rock,ORCHARD - Sour Mash Records Ltd,5052945065106,0,0,,,,,,,,,,,,
12303,44732,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:15:14 AM,Joanna Newsom,Anecdotes,Divers,0,0,Folk,MERLIN - Drag City Records,0781484056126,0,0,,,,,,,,,,,,
12304,44733,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:21:38 AM,Buck Clayton,After Theatre Jump,Merry Christmas,0,0,,Winter Diamonds,3614972286378,0,0,,,,,,,,,,,,
12305,44734,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:26:20 AM,Abraham Alexander,Blood Under The Bridge,Blood Under The Bridge,0,0,,Dualtone Music Group,0803020241169,0,0,,,,,,,,,,,,
12306,44735,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:30:27 AM,Genesis Owusu,Tied Up!,Tied Up!,0,0,Hip Hop/Rap,ORCHARD - Ourness,0197188874469,0,0,,,,,,,,,,,,
12307,44736,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:33:34 AM,beabadoobee,Glue Song (feat. Clairo),Glue Song (feat. Clairo),0,0,,Dirty Hit,0196922429101,0,0,0.621,0.393,0.393,-9.553,1.0,0.0275,0.778,0.00703,0.104,0.53,113.925,135067.0
12308,44737,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:35:50 AM,Charles Lloyd,Desolation Sound,Desolation Sound,0,0,Jazz,UMG - Blue Note (BLU),00602445748518,0,0,,,,,,,,,,,,
12309,44738,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:38:38 AM,Close Lobsters,Just Too Bloody Stupid,Foxheads Stalk This Land,0,0,Rock,Fire Records,0829410528054,0,0,0.322,0.821,0.821,-9.157,1.0,0.0512,0.00142,0.0106,0.651,0.659,129.097,204440.0
12310,44739,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:39:07 AM,Matt Costa,Holy Mountain,Donde Los Terremotos: Songs from and Inspired by the Film,0,0,Folk,Dangerbird Records,0842803024865,0,0,,,,,,,,,,,,
12311,44740,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:44:37 AM,Adrian Younge,Ebun,Jazz Is Dead 011,0,0,Jazz,MERLIN - Jazz Is Dead,0634457104297,0,0,,,,,,,,,,,,
12312,44741,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:50:14 AM,Jeff Coffin,Vinnie the Crow,Between Dreaming and Joy,0,0,Jazz,Ear Up Records,0658580496043,0,0,0.753,0.823,0.823,-6.442,1.0,0.0463,0.299,0.183,0.0768,0.85,97.97,260443.0
12313,44742,"WRUV 2/7/24, 6:03 AM",64581,Program Director,2024-02-07,6:54:32 AM,Fred und Luna,Tanz mit mir,Tanz mit mir,0,0,Electronic,Compost Records,0673794261362,0,0,,,,,,,,,,,,
12314,44743,Unknown Summer,176422,DJ Desh,2024-02-07,7:02:40 AM,The Smile,Bending Hectic,Wall of Eyes,1,0,Rock,XL Recordings,191404139479,0,0,0.312,0.451,0.451,-10.419,1.0,0.0402,0.583,0.72,0.107,0.115,114.513,483973.0
12315,44744,Unknown Summer,176422,DJ Desh,2024-02-07,7:04:30 AM,Future Islands,The Tower,The Tower,1,0,,MERLIN - 4AD,5059638422994,0,0,0.646,0.935,0.935,-4.554,1.0,0.0424,0.0883,0.486,0.0795,0.628,140.022,216867.0
12316,44745,Unknown Summer,176422,DJ Desh,2024-02-07,7:08:04 AM,The Smile,Under Our Pillows,Wall Of Eyes,1,0,,MERLIN - XL Recordings,5059638426336,0,0,0.251,0.563,0.563,-12.337,1.0,0.0534,0.0959,0.84,0.114,0.242,88.439,374040.0
12317,44746,Unknown Summer,176422,DJ Desh,2024-02-07,7:13:06 AM,The Staves,"I Don't Say It, But I Feel It","I Don't Say It, But I Feel It",1,0,,The Staves,0075597901528,0,0,0.608,0.584,0.584,-8.39,1.0,0.0293,0.285,4.11e-05,0.117,0.421,131.944,248133.0
12318,44747,Unknown Summer,176422,DJ Desh,2024-02-07,7:17:10 AM,Tourist,EST,EST,1,0,Electronic,Monday Records,0197190179132,0,0,,,,,,,,,,,,
12319,44748,Unknown Summer,176422,DJ Desh,2024-02-07,7:21:05 AM,Mura Masa,Love$ick - Four Tet Remix,Love$ick (Four Tet Remix),0,0,Electronic,UMG - Polydor Records,00602557242720,0,0,0.692,0.917,0.917,-5.16,0.0,0.0693,0.117,0.155,0.361,0.408,89.008,235693.0
12320,44749,Unknown Summer,176422,DJ Desh,2024-02-07,7:25:47 AM,Yves Tumor,Folie Simultanée,Heaven To A Tortured Mind,0,0,Electronic,Warp Records,,0,0,,,,,,,,,,,,
12321,44750,Unknown Summer,176422,DJ Desh,2024-02-07,7:28:54 AM,Chairlift,Wrong Opinion,Something,0,0,,SME - Kanine/Columbia,0886443335660,0,0,0.64,0.725,0.725,-7.365,0.0,0.0301,0.0388,0.0439,0.101,0.159,118.186,306080.0
12322,44751,Unknown Summer,176422,DJ Desh,2024-02-07,7:36:02 AM,Mount Kimbie,Delta,Love What Survives,0,0,Electro,Warp Records,0801061028831,0,0,,,,,,,,,,,,
12323,44752,Unknown Summer,176422,DJ Desh,2024-02-07,7:39:57 AM,Jai Paul,Crush - Unfinished,Leak 04-13 (Bait Ones),0,0,,MERLIN - XL Recordings,5059638159784,0,0,0.682,0.345,0.345,-8.044,1.0,0.215,0.0582,0.0371,0.115,0.572,110.973,225280.0
12324,44753,Unknown Summer,176422,DJ Desh,2024-02-07,7:43:32 AM,Perfume Genius,Without You - Jim-E Stack Remix,Without You (Jim-E Stack Remix),0,0,,MERLIN - Matador,5059638331401,0,0,0.799,0.46,0.46,-8.45,0.0,0.084,0.228,0.00033,0.147,0.437,133.466,202349.0
12325,44754,Unknown Summer,176422,DJ Desh,2024-02-07,7:46:54 AM,Sky Ferreira,Everything Is Embarrassing (Krystal Klear Remix),Everything Is Embarrassing (Krystal Klear Remix),0,0,Electronic,Capitol Records,,0,0,,,,,,,,,,,,
12326,44755,Unknown Summer,176422,DJ Desh,2024-02-07,7:51:22 AM,Blood Orange,Better Than Me,Freetown Sound,0,0,R&B/Soul,Domino Recording Co,887828036967,0,0,,,,,,,,,,,,
12327,44756,Unknown Summer,176422,DJ Desh,2024-02-07,7:54:58 AM,Aphex Archive,High Hats Tune Tamclap,High Hats Tune Tamclap,0,0,Electronic,Aphex Archive,0859778515786,0,0,,,,,,,,,,,,
12328,44757,Unknown Summer,176422,DJ Desh,2024-02-07,7:58:36 AM,Fabiana Palladino,Waiting,Waiting,0,0,Electronic,MERLIN - Paul Institute,5059638175357,0,0,,,,,,,,,,,,
12329,44758,Unknown Summer,176422,DJ Desh,2024-02-07,8:02:35 AM,Mount Kimbie,Fishbrain,Fishbrain,0,0,Rock,Warp Records,,0,0,0.674,0.652,0.652,-8.611,1.0,0.0287,0.217,0.897,0.341,0.375,113.989,277286.0
12330,44759,Unknown Summer,176422,DJ Desh,2024-02-07,8:07:10 AM,Searows,Sleeping With The Lights On,Guard Dog,0,0,Folk,Searows,0692531836168,0,0,0.265,0.0927,0.0927,-16.479,1.0,0.0357,0.893,0.00206,0.104,0.0975,69.031,233547.0
12331,44760,Unknown Summer,176422,DJ Desh,2024-02-07,8:11:13 AM,Molly Nilsson,I Hope You Die,History,0,0,Electronic,Dark Skies Association,859706864559,0,0,,,,,,,,,,,,
12332,44761,Unknown Summer,176422,DJ Desh,2024-02-07,8:15:39 AM,Miguel,waves - Tame Impala Remix,Rogue Waves,0,0,R&B/Soul,SME - ByStorm Entertainment/RCA Records,0886445737837,1,0,0.529,0.894,0.894,-3.599,1.0,0.0412,0.308,5.38e-06,0.254,0.543,108.024,253347.0
12333,44762,Unknown Summer,176422,DJ Desh,2024-02-07,8:19:44 AM,The Ting Tings,Shut Up and Let Me Go,We Started Nothing,0,0,Electronic,Columbia,888880540676,0,0,0.852,0.927,0.927,-4.497,1.0,0.0581,0.0109,0.00268,0.054,0.887,107.993,171227.0
