,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
14600,47030,Evolutions In the Otisphere,100664,otis cleveland,2024-02-13,9:29:03 PM,Furry Lewis,Falling Down Blues,Essential Blues Masters: Furry Lewis,0,0,Blues,"Nifty Music, Inc.",885686143650,0,0,0.496,0.0787,0.0787,-14.333,1.0,0.0478,0.97,0.00425,0.175,0.413,113.259,168853.0
14601,47031,Evolutions In the Otisphere,100664,otis cleveland,2024-02-13,9:30:47 PM,Louis Armstrong,Tin Roof Blues,We Have All the Time in the World,0,0,Jazz,BELIEVE - Play Music,3616405885912,1,0,0.623,0.367,0.367,-8.469,1.0,0.0363,0.826,0.0,0.294,0.388,68.645,179547.0
14602,47032,Evolutions In the Otisphere,100664,otis cleveland,2024-02-13,9:34:36 PM,Prime Mates,Hot Tamales,"New Orleans Rhythm, Blues & Soul",0,0,R&B/Soul,Oxford Label Services,0197999614858,0,0,,,,,,,,,,,,
14603,47033,Evolutions In the Otisphere,100664,otis cleveland,2024-02-13,9:37:23 PM,James and Troy Andrews,Bourbon Streeet Parade,La Chica Dulce,0,0,Jazz,New Orleans,,0,0,,,,,,,,,,,,
14604,47034,Evolutions In the Otisphere,100664,otis cleveland,2024-02-13,9:43:21 PM,Lee Dorsey,Four Corners,Ride Your Pony,0,0,R&B/Soul,Arista,0197999614858,0,0,,,,,,,,,,,,
14605,47035,Evolutions In the Otisphere,100664,otis cleveland,2024-02-13,9:46:06 PM,Dr. Michael White,Give It Up - Gypsy Second Line,Dancing In The Sky,0,0,Jazz,Basin Street,0652905050323,0,0,0.672,0.408,0.408,-12.158,0.0,0.116,0.876,0.814,0.0868,0.488,98.0,365373.0
14606,47036,Evolutions In the Otisphere,100664,otis cleveland,2024-02-13,9:52:00 PM,Dr. John,Mardi Gras Day,Remedies,0,0,R&B/Soul,Atlantic Records,0081227288525,1,0,,,,,,,,,,,,
14607,47037,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,10:01:41 PM,Fightrings,Bench Misiles,The Morning Dew,0,0,,Fightrings,0859757076765,0,0,,,,,,,,,,,,
14608,47038,Evolutions In the Otisphere,100664,otis cleveland,2024-02-13,10:03:59 PM,Earl King,"Street Parade, Pt. 1",An Introduction to Earl King,0,0,Blues,Fuel 2000,030206160888,0,0,,,,,,,,,,,,
14609,47039,Evolutions In the Otisphere,100664,otis cleveland,2024-02-13,10:07:07 PM,Charles Brown,Crystal Ball,Keys to the Crescent City,0,0,R&B/Soul,Rounder,011661208728,0,0,,,,,,,,,,,,
14610,47040,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,10:09:20 PM,Borah Bergman,Red Shadows,The Human Factor,0,0,Jazz,Soul Note,8024709081520,0,0,,,,,,,,,,,,
14611,47041,Evolutions In the Otisphere,100664,otis cleveland,2024-02-13,10:10:37 PM,Borah Bergman,Red Shadows,The Human Factor (With Andrew Cyrille),0,0,Classical,Soul Note,8024709081520,0,0,,,,,,,,,,,,
14612,47042,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,10:14:59 PM,Sun Ra & His Intergalactic Solar Arkestra,Watusa,Space is the Place: Music for the Film,0,0,Jazz,MERLIN - Sundazed Music / Modern Harmonic,0090771826718,0,0,,,,,,,,,,,,
14613,47043,Evolutions In the Otisphere,100664,otis cleveland,2024-02-13,10:15:44 PM,Sun Ra and His Arkestra,Watusa,Sun Ra & His Intergalactic Solar Arkestra: Space Is the Place (Music from the Original Soundtrack),0,0,Jazz,Evidence,090771826718,0,0,,,,,,,,,,,,
14614,47044,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,10:23:26 PM,Kidd Jordan,Last Of The Chicken Wings,Palm Of Soul,0,0,,AUM Fidelity,0642623303825,0,0,0.446,0.539,0.539,-10.144,0.0,0.149,0.555,0.524,0.11,0.493,137.122,721800.0
14615,47045,Evolutions In the Otisphere,100664,otis cleveland,2024-02-13,10:23:58 PM,Kidd Jordan,Last of the Chicken Wings,Palm of Soul,0,0,Jazz,AUM Fidelity,642623303825,0,0,,,,,,,,,,,,
14616,47046,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,10:35:23 PM,Yaeji,Done (Let’s Get It),Done (Let's Get It),0,0,Electronic,MERLIN - XL Recordings,5059638397964,0,0,,,,,,,,,,,,
14617,47047,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,10:38:23 PM,Veronica Swift,Closer,Closer,0,0,Jazz,ORCHARD - Mack Avenue Records,0673203120266,0,0,,,,,,,,,,,,
14618,47048,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,10:43:17 PM,Tyler Mitchell,Discipline,Sun Ra's Journey,0,0,Jazz,ORCHARD - Cellar Live,0196626250391,0,0,,,,,,,,,,,,
14619,47049,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,10:48:53 PM,beabadoobee,the way things go,the way things go,0,0,,Dirty Hit,0196922537851,0,0,0.528,0.513,0.513,-8.266,1.0,0.0306,0.848,0.0127,0.326,0.463,131.952,187800.0
14620,47050,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,10:51:59 PM,Damien Jurado,Over Rainbows and Rainier,Over Rainbows and Rainier,0,0,,Secretly Canadian,0656605036540,0,0,0.461,0.0627,0.0627,-17.87,1.0,0.063,0.932,0.000377,0.105,0.228,97.573,250000.0
14621,47051,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,10:56:08 PM,Mitski,Love Me More,Laurel Hell,0,0,,MERLIN - Dead Oceans,0617308021394,0,0,,,,,,,,,,,,
14622,47052,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,11:00:45 PM,Nicholas Payton,Gold Dust Black Magic,DRIP,0,0,R&B/Soul,Paytone Records,0195269261788,0,0,0.631,0.553,0.553,-8.991,1.0,0.0391,0.0396,0.849,0.0726,0.494,80.029,295000.0
14623,47053,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,11:05:48 PM,FORBIDDEN FRUIT,Garbicz,Late Night Strut EP,0,0,Electronic,WeZienWel Records,0195334845615,0,0,,,,,,,,,,,,
14624,47054,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,11:11:22 PM,Roy Harper,One Man Rock and Roll Band,Stormcock (Remastered),0,0,,Resurgent,0690333000152,0,0,,,,,,,,,,,,
14625,47055,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,11:18:43 PM,Joyce,Memórias do Porvir / Visões do Amanhecer,Visions of Dawn,0,0,,BELIEVE - Far Out Recordings,3614595014105,0,0,,,,,,,,,,,,
14626,47056,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,11:29:29 PM,Jamila Woods,Practice,Practice,0,0,,MERLIN - Jagjaguwar,0656605244266,0,0,,,,,,,,,,,,
14627,47057,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,11:32:43 PM,Sophie Raskin,Leave me Lone,Leave me Lone,0,0,R&B/Soul,Allegheny Records,0198053600411,0,0,,,,,,,,,,,,
14628,47058,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,11:35:44 PM,Junior Santos,Jari's,Conpambiche,0,0,,Junior Santos,0195079389115,0,0,,,,,,,,,,,,
14629,47059,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,11:39:13 PM,Dolly Parton,World On Fire,World On Fire,0,0,Rock,UMG - Big Machine,00843930095278,1,0,,,,,,,,,,,,
14630,47060,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,11:52:02 PM,Born74,Freedom To Choose,Mind Vibrations,0,0,Jazz,MERLIN - Tru Thoughts,5060609666279,0,0,,,,,,,,,,,,
14631,47061,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,11:56:15 PM,Barkman,Iguana,Togetherless,0,0,Jazz,DISTROKID,0197714749520,0,0,,,,,,,,,,,,
14632,47062,Between Blue and Green radio,176424,DJ Celeste,2024-02-13,11:59:40 PM,That That Is,Oceano Lounge Groove,Oceano,0,0,,773697 Records DK,0885767392052,0,0,0.646,0.486,0.486,-18.957,1.0,0.0715,0.0664,0.826,0.0955,0.157,119.956,362057.0
14633,47063,Circadian Rhythms,176438,DJ Circadia,2024-02-14,12:00:28 AM,DJ V,Dance Dance Dance! (endlessly),Hits (Volumen I),0,0,,Vtg.records,8429006723768,0,0,,,,,,,,,,,,
14634,47064,Circadian Rhythms,176438,DJ Circadia,2024-02-14,12:05:49 AM,Wolf Alice,Don’t Delete The Kisses,Visions of a Life,0,0,Rock,Dirty Hit/RCA Records,886446572734,0,0,,,,,,,,,,,,
14635,47065,Circadian Rhythms,176438,DJ Circadia,2024-02-14,12:10:10 AM,Lianne La Havas,Weird Fishes,Lianne La Havas,0,0,Rock,Warner Records,190295048013,0,0,,,,,,,,,,,,
14636,47066,Circadian Rhythms,176438,DJ Circadia,2024-02-14,12:16:02 AM,Wet,Clementine,Letter Blue,0,0,Electronic,30SF,5056495206699,0,0,,,,,,,,,,,,
14637,47067,Circadian Rhythms,176438,DJ Circadia,2024-02-14,12:19:01 AM,"Mura Masa, Ellie Rowsell & Wolf Alice",Teenage Headache Dreams,R.Y.C,0,0,Electronic,Polydor Records,00602508750861,0,0,,,,,,,,,,,,
14638,47068,Circadian Rhythms,176438,DJ Circadia,2024-02-14,12:26:38 AM,Japanese Breakfast,Essentially,Essentially,0,0,Rock,MERLIN - W Records,,0,0,0.666,0.466,0.466,-9.054,1.0,0.0345,0.0177,0.00143,0.199,0.462,134.962,196215.0
