,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
10100,42529,PB & Jam,160100,PBreezy,2024-01-31,2:39:56 PM,OTTO,Dairy Adventure,Clam Day,0,0,Electronic,MERLIN - PLZ Make It Ruins,5054526678057,0,0,0.788,0.971,0.971,-6.027,0.0,0.0496,0.00605,0.875,0.0552,0.644,106.019,248600.0
10101,42530,PB & Jam,160100,PBreezy,2024-01-31,2:44:03 PM,Frou Frou,Psychobabble,Details,0,0,Rock,UMG - Universal-Island Records Ltd.,00731458699620,0,0,0.487,0.921,0.921,-5.712,0.0,0.148,0.546,0.0,0.147,0.285,77.984,333773.0
10102,42531,PB & Jam,160100,PBreezy,2024-01-31,2:49:55 PM,Destroyer,Savage Night at the Opera,Kaputt,0,0,,WMG - Secretly Canadian,0656605134666,0,0,0.675,0.593,0.593,-8.11,1.0,0.0393,0.00245,0.175,0.0745,0.796,146.976,263587.0
10103,42532,PB & Jam,160100,PBreezy,2024-01-31,2:54:16 PM,Fat Night,Alone In Love,Live for Each Other,0,0,,MERLIN - Acrophase Records,5059324365369,0,0,,,,,,,,,,,,
10104,42533,PB & Jam,160100,PBreezy,2024-01-31,2:59:10 PM,Ramona Lisa,Ladys Got Gills,Arcadia,0,0,,Terrible Records PD,00886444497213,0,0,,,,,,,,,,,,
10105,42534,PB & Jam,160100,PBreezy,2024-01-31,3:04:45 PM,Stereolab,The Flower Called Nowhere,Dots And Loops (Expanded Edition),0,0,,Duophonic / Warp Records,5060384616155,0,0,0.536,0.568,0.568,-11.547,0.0,0.0258,0.593,0.000185,0.301,0.535,105.762,315065.0
10106,42535,PB & Jam,160100,PBreezy,2024-01-31,3:09:57 PM,Kate NV,Kata,Binasu,0,0,Electronic,Orange Milk,0889326559900,0,0,,,,,,,,,,,,
10107,42536,PB & Jam,160100,PBreezy,2024-01-31,3:15:44 PM,Mr Twin Sister,Alien FM,Alien FM,0,0,Electronic,MERLIN - Twin Group,0634457911901,0,0,0.6,0.691,0.691,-7.006,0.0,0.0497,0.205,9.8e-05,0.0921,0.471,90.002,196747.0
10108,42537,PB & Jam,160100,PBreezy,2024-01-31,3:18:58 PM,Perfume Genius,Sides,No Shape,0,0,,MERLIN - Matador,5059638300575,0,0,,,,,,,,,,,,
10109,42538,PB & Jam,160100,PBreezy,2024-01-31,3:23:48 PM,El Michels Affair,Murkit Gem,Murkit Gem,0,0,R&B/Soul,MERLIN - Big Crown Records,0349223006032,0,0,0.536,0.632,0.632,-10.067,0.0,0.0641,0.599,0.921,0.159,0.566,117.796,192405.0
10110,42539,PB & Jam,160100,PBreezy,2024-01-31,3:26:59 PM,Jonathan Johansson,Är Du Passionerad?,Är Du Passionerad?,0,0,,SME - Milkshake,0886448262626,0,0,0.612,0.831,0.831,-10.447,1.0,0.0575,0.0564,0.102,0.117,0.406,115.282,305076.0
10111,42540,PB & Jam,160100,PBreezy,2024-01-31,3:32:27 PM,Turnstile,Alien Love Call,New Heart Designs,0,0,Rock,Roadrunner Records,0075679673930,0,0,0.606,0.583,0.583,-8.389,1.0,0.0284,0.00633,0.404,0.193,0.807,125.974,222742.0
10112,42541,PB & Jam,160100,PBreezy,2024-01-31,3:36:09 PM,Thy Slaughter,Immortal,Soft Rock,0,0,,PC Music,0196922705571,0,0,,,,,,,,,,,,
10113,42542,PB & Jam,160100,PBreezy,2024-01-31,3:39:14 PM,Louis Cole,Don’t Care,Quality Over Opinion,0,0,,Brainfeeder,5054429157147,0,0,,,,,,,,,,,,
10114,42543,PB & Jam,160100,PBreezy,2024-01-31,3:44:34 PM,The Blue Nile,Headlights on the Parade,Hats (Deluxe Version),0,0,,MERLIN - Confetti Records,3663729102690,0,0,0.478,0.924,0.924,-7.314,1.0,0.042,0.0924,0.362,0.0732,0.83,98.54,377200.0
