,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
9700,42129,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-30,11:01:00 AM,MC Maguire,Another Lucid Dream,Dystophilia,1,0,Electronic,Neuma Records,733102526900,0,0,,,,,,,,,,,,
9701,42130,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-30,11:06:00 AM,Leslie Ting & Germaine Liu,What is the most yourself  you can be with another? (stereo version),What Brings You In,1,0,Classical,People Places Records,,0,0,,,,,,,,,,,,
9702,42131,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-30,11:10:00 AM,William Brittelle,Pure Sacrifice,Alive inthe Electric Snow Dream,1,0,Classical,New Amsterdam,,0,0,,,,,,,,,,,,
9703,42132,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-30,11:12:54 AM,Ayjay Nils,Is This the Last Thing You Heard from Me?,"Okay, Wait Wait Wait",1,0,Classical,Làtension,4062851570237,0,0,0.312,0.386,0.386,-12.208,1.0,0.0411,0.838,0.827,0.249,0.121,131.218,384603.0
9704,42133,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-30,11:19:00 AM,Serge Teyssot-Gay & Carl Faia,Nacarat,The Weather Pieces,1,0,Classical,Mode Records,764593033325,0,0,,,,,,,,,,,,
9705,42134,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-30,11:24:27 AM,Osmanthus,In Early Spring,Between Seasons,1,0,Classical,Bow Bottom Records,0019307240576,0,0,,,,,,,,,,,,
9706,42135,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-30,11:33:42 AM,David Therrien Brongo,"5 Chansons for Percussion: No. 2, Chanson à midi",Confluence,1,0,Classical,Ravello Records,0808857497949,0,0,,,,,,,,,,,,
9707,42136,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-30,11:37:43 AM,Juventas New Music Ensemble,FREE LAND: II. Two Seasons,Voices of the Land,1,0,Classical,Navona,0896931008532,0,0,,,,,,,,,,,,
9708,42137,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-30,11:44:00 AM,Arve Henrikesen & Harmen Fraanje,Passing on the Past,Touch of Time,1,0,Classical,ECM,,0,0,,,,,,,,,,,,
9709,42138,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-30,11:48:00 AM,Heikki Ruokangas,Psalm,KARU,1,0,Classical,Orbit577 / 577 Records,064837285009,0,0,,,,,,,,,,,,
9710,42139,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-30,11:53:00 AM,Bridge  Quartet,String Quartet No. 5: moderato,"Cooke: Complete String Quartets, Vol. 1",1,0,Classical,Toccata Classics,,0,0,,,,,,,,,,,,
9711,42140,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-30,11:57:50 AM,DJ anySofa,Velogstell - Instrumental Version,Bonus (Instrumental Version),0,0,,DJ anySofa,7316212186962,0,0,0.556,0.179,0.179,-14.955,0.0,0.446,0.0496,0.844,0.0999,0.125,119.94,129286.0
9712,42141,Who Queued This?,169280,Shev,2024-01-30,12:04:04 PM,The Strokes,Under Control,Room On Fire,0,0,Rock,Rca Records Label,0828765549721,0,0,,,,,,,,,,,,
9713,42142,Who Queued This?,169280,Shev,2024-01-30,12:07:03 PM,Herb Alpert & The Tijuana Brass,Ladyfingers,Whipped Cream & Other Delights,0,0,Jazz,WMG - Herb Alpert Presents,0814647020136,0,0,0.347,0.299,0.299,-14.462,1.0,0.0401,0.979,0.93,0.178,0.556,86.15,164547.0
9714,42143,Who Queued This?,169280,Shev,2024-01-30,12:09:42 PM,Neato,New Band Scene,New Band Scene / Seasick,1,1,Rock,NEATOSONGS,0019307108371,0,0,0.364,0.896,0.896,-6.578,1.0,0.043,0.0017,0.75,0.357,0.717,168.329,233000.0
9715,42144,Who Queued This?,169280,Shev,2024-01-30,12:13:28 PM,Empire Of The Sun,Half Mast,Walking On A Dream,0,0,,Virgin Records,5099969615153,0,0,0.771,0.738,0.738,-4.88,1.0,0.0303,0.00423,0.00419,0.501,0.761,126.983,234360.0
9716,42145,Who Queued This?,169280,Shev,2024-01-30,12:20:29 PM,Engelbert Humperdinck,Quando Quando Quando,Engelbert Humperdinck Songs,0,0,,Like Music,0887396475342,1,0,0.366,0.589,0.589,-8.956,1.0,0.0333,0.251,1.15e-06,0.0791,0.84,175.935,201440.0
9717,42146,Who Queued This?,169280,Shev,2024-01-30,12:23:43 PM,Dusty Springfield,Spooky,I Am Stressed,0,0,,Universal Music,0600753064634,1,0,,,,,,,,,,,,
9718,42147,Who Queued This?,169280,Shev,2024-01-30,12:26:20 PM,The Lemon Twigs,My Golden Years,My Golden Years,1,0,Rock,Captured Tracks,0817949037574,0,0,0.292,0.731,0.731,-6.967,1.0,0.032,0.0216,0.0,0.366,0.434,151.265,193907.0
9719,42148,Who Queued This?,169280,Shev,2024-01-30,12:29:26 PM,alt-J,Breezeblocks,BRIT Awards Best Group,0,0,,Infectious,5050954285584,0,0,0.615,0.658,0.658,-7.299,1.0,0.0343,0.096,0.000911,0.205,0.293,150.093,227080.0
9720,42149,Who Queued This?,169280,Shev,2024-01-30,12:35:45 PM,Hiatus Kaiyote,Everything’s Beautiful,Everything’s Beautiful,1,0,Rock,MERLIN - Brainfeeder,5054429192834,0,0,0.785,0.491,0.491,-7.163,0.0,0.0546,0.148,4.27e-05,0.113,0.772,133.355,170479.0
9721,42150,Who Queued This?,169280,Shev,2024-01-30,12:38:27 PM,Nena,99 Luftballons,Alles,0,0,,WMG - Non-Wea/Other,0809274801821,0,0,0.636,0.467,0.467,-10.1,1.0,0.0421,0.0915,1.7e-06,0.117,0.58,96.639,231467.0
9722,42151,Who Queued This?,169280,Shev,2024-01-30,12:42:11 PM,Divining Rod,Ballad Of A Black Widow,The House Will Always Win,1,0,Folk,DISTROKID,0197982957740,0,0,0.461,0.712,0.712,-7.966,1.0,0.0343,0.00409,3.85e-05,0.119,0.334,142.952,248147.0
9723,42152,Who Queued This?,169280,Shev,2024-01-30,12:48:50 PM,Kelis,Millionaire (feat. André 3000),Tasty,0,0,Hip Hop/Rap,Arista,828765213226,1,0,0.686,0.855,0.855,-6.6,1.0,0.116,0.0252,0.0,0.037,0.763,176.002,224933.0
9724,42153,Who Queued This?,169280,Shev,2024-01-30,12:51:38 PM,Dreamgirl,Teenage Blue,Illuminaughty - EP,0,0,,WMG - Warner Records Label,0093624862956,0,0,0.178,0.457,0.457,-7.48,1.0,0.0312,0.834,0.0244,0.133,0.128,180.343,234969.0
9725,42154,Who Queued This?,169280,Shev,2024-01-30,12:54:45 PM,MELONYX,At The Door,At The Door,0,0,,BELIEVE - Tru Thoughts,5060609666330,0,0,,,,,,,,,,,,
