,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
12200,44629,Between Blue and Green radio,176424,DJ Celeste,2024-02-06,11:03:21 PM,Emma Anderson,Xanthe,Pearlies,1,0,,Sonic Cathedral,5056321690814,0,0,,,,,,,,,,,,
12201,44630,Between Blue and Green radio,176424,DJ Celeste,2024-02-06,11:05:44 PM,Broadcast,Before We Begin,Haha Sound,0,0,Rock,Warp Records,0801061010638,0,0,0.513,0.709,0.709,-6.702,1.0,0.0373,0.0326,2.08e-05,0.0975,0.579,110.87,202200.0
12202,44631,Between Blue and Green radio,176424,DJ Celeste,2024-02-06,11:08:56 PM,Moondog,Bird's Lament,The Viking of Sixth Avenue (Remastered 2019),0,0,,BELIEVE - Moondog International,0191773931940,0,0,,,,,,,,,,,,
12203,44632,Between Blue and Green radio,176424,DJ Celeste,2024-02-06,11:10:47 PM,Tsegue-Maryam Guebrou,The Homeless Wanderer,"Ethiopiques, vol. 21: Emahoy (Piano Solo)",0,0,,Buda musique,3700368412206,0,0,,,,,,,,,,,,
12204,44633,Between Blue and Green radio,176424,DJ Celeste,2024-02-06,11:17:40 PM,Amanaz,Sunday Morning,Africa,0,0,Rock,Now Again Records,0659457512323,0,0,,,,,,,,,,,,
12205,44634,Between Blue and Green radio,176424,DJ Celeste,2024-02-06,11:22:27 PM,Stereolab,With Friends Like These,Oscillons From The Anti-Sun,0,0,Rock,Too Pure,0644918016021,0,0,,,,,,,,,,,,
12206,44635,Between Blue and Green radio,176424,DJ Celeste,2024-02-06,11:28:06 PM,Brian Eno,Here He Comes - 2004 Digital Remaster,Before And After Science,0,0,Electronic,UMG - EMI Marketing,00724357729253,0,0,0.413,0.442,0.442,-11.889,1.0,0.0285,0.594,0.122,0.26,0.19,127.326,338872.0
12207,44636,Between Blue and Green radio,176424,DJ Celeste,2024-02-06,11:35:01 PM,Al Massrieen,Sah,Modern Music (Habibi Funk 006),0,0,World,HABIBI Funk Records,4018939384920,0,0,,,,,,,,,,,,
12208,44637,Between Blue and Green radio,176424,DJ Celeste,2024-02-06,11:37:41 PM,Hamid Al Shaeri,Ayonha,Habibi Funk: An Eclectic Selection of Music from the Arab World,0,0,,HABIBI Funk Records,4018939331016,0,0,0.685,0.672,0.672,-8.654,1.0,0.0291,0.45,0.000645,0.12,0.668,122.912,219625.0
12209,44638,Between Blue and Green radio,176424,DJ Celeste,2024-02-06,11:41:09 PM,Animal Collective,My Girls,Merriweather Post Pavilion,0,0,Rock,Domino Recording Co,5034202021650,0,0,,,,,,,,,,,,
12210,44639,Between Blue and Green radio,176424,DJ Celeste,2024-02-06,11:46:38 PM,Fatboy Slim,"Right Here, Right Now",You've Come a Long Way Baby (10th Anniversary Edition),0,0,,Universal Music Ireland Ltd.,9399700058680,1,0,0.572,0.862,0.862,-8.065,1.0,0.101,0.0127,0.388,0.674,0.111,124.708,387707.0
12211,44640,Between Blue and Green radio,176424,DJ Celeste,2024-02-06,11:52:54 PM,Vegyn,Retro OTW,Only Diamonds Cut Diamonds,0,0,Electronic,MERLIN - PLZ Make It Ruins,5056167118008,0,0,0.291,0.355,0.355,-8.237,1.0,0.0349,0.895,0.829,0.135,0.132,58.554,157800.0
12212,44641,"WRUV 2/7/24, 12:00 AM",64581,Program Director,2024-02-07,12:00:08 AM,Chet Baker,Look For The Silver Lining,Triple Best Of,0,0,Jazz,BELIEVE - Past Hereos,3610151973480,0,0,0.646,0.193,0.193,-15.631,1.0,0.0375,0.942,0.00333,0.12,0.434,80.397,159427.0
12213,44642,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:05:29 AM,The Avalanches,Because I'm Me,Wildflower,0,0,Electronic,XL Recordings,634904075569,0,0,,,,,,,,,,,,
12214,44643,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:08:51 AM,D.O.D,Still Sleepless,Still Sleepless - Single,0,0,Electronic,Axtone Records,5060582806518,0,0,0.628,0.738,0.738,-5.045,0.0,0.0367,0.0156,0.281,0.153,0.699,125.928,162879.0
12215,44644,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:11:45 AM,Choker,Starfruit LA,Honeybloom,0,0,Electronic,Jet Fuzz,843357181189,0,0,0.415,0.401,0.401,-10.066,1.0,0.0621,0.556,1.79e-05,0.362,0.172,102.923,243692.0
12216,44645,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:15:40 AM,Sky Ferreira,Lost In My Bedroom,"Night Time, My Time",0,0,Rock,Capitol Records,,0,0,0.607,0.831,0.831,-5.195,0.0,0.0461,9.12e-05,7.14e-06,0.266,0.335,125.037,194587.0
12217,44646,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:21:22 AM,Toro y Moi,Girl Like You,Boo Boo,0,0,Electronic,Carpark Records,677517012187,0,0,,,,,,,,,,,,
12218,44647,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:24:47 AM,Charli XCX,party 4 u,how i'm feeling now,0,0,Electronic,Atlantic Records UK,190295229993,1,0,0.579,0.522,0.522,-8.393,1.0,0.0993,0.761,1.41e-05,0.655,0.245,79.453,296653.0
12219,44648,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:29:36 AM,Wolf Alice,How Can I Make It OK?,Blue Weekend,0,0,Rock,Dirty Hit/RCA Records,886449055173,0,0,,,,,,,,,,,,
12220,44649,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:34:26 AM,Holy Hive,Broom,Float Back To You,0,0,R&B/Soul,Big Crown Records,,0,0,0.684,0.478,0.478,-8.398,0.0,0.0341,0.426,0.0471,0.105,0.775,93.244,135753.0
12221,44650,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:38:14 AM,Men I Trust,Ante Meridiem,Untourable Album,0,0,Rock,Independent,019807361634,0,0,0.617,0.296,0.296,-15.317,0.0,0.0306,0.815,0.922,0.12,0.386,138.005,146087.0
12222,44651,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:40:41 AM,Saint Etienne,Nothing Can Stop Us,Foxbase Alpha,0,0,Electronic,Heavenly Recordings,5414939957901,0,0,,,,,,,,,,,,
12223,44652,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:45:01 AM,Camera Obscura,Big Love,Big Love,1,0,Rock,MERLIN - Merge Records,,0,0,,,,,,,,,,,,
12224,44653,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:48:11 AM,Cocteau Twins,Pur (2024 Remaster),Four-Calendar Café (2024 Remaster),0,0,Rock,4AD,191400061767,0,0,,,,,,,,,,,,
12225,44654,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:55:02 AM,Arlo Parks,Black Dog,Black Dog - Single,0,0,R&B/Soul,Transgressive,5400863030117,0,0,,,,,,,,,,,,
12226,44655,Circadian Rhythms,176438,DJ Circadia,2024-02-07,12:58:35 AM,Alice Phoebe Lou,Lose My Head,Shelter,0,0,Rock,Alice Phoebe Lou,3617222846957,0,0,0.436,0.588,0.588,-8.034,1.0,0.109,0.0249,4.27e-05,0.368,0.317,177.678,150791.0
12227,44656,Circadian Rhythms,176438,DJ Circadia,2024-02-07,1:01:40 AM,Rachel Chinouriri,The Hills,Never Need Me,0,0,Rock,Parlophone UK,,0,0,,,,,,,,,,,,
12228,44657,Circadian Rhythms,176438,DJ Circadia,2024-02-07,1:04:36 AM,San Fermin,Weird Environment,Weird Environment,1,0,Rock,ORCHARD - Better Company Records LLC,,0,0,0.717,0.645,0.645,-6.654,1.0,0.0292,0.447,0.123,0.104,0.851,129.007,235187.0
12229,44658,Circadian Rhythms,176438,DJ Circadia,2024-02-07,1:11:34 AM,Sufjan Stevens,Love Yourself (1996 Demo),Love Yourself / With My Whole Heart - EP,0,0,Rock,Asthmatic Kitty,656605366364,0,0,0.536,0.19,0.19,-14.94,1.0,0.0332,0.962,0.194,0.122,0.414,75.566,73561.0
12230,44659,Circadian Rhythms,176438,DJ Circadia,2024-02-07,1:14:10 AM,Ismay,Melodies,Desert Pavement,1,0,Folk,[SELF-RELEASED],,0,0,,,,,,,,,,,,
12231,44660,Circadian Rhythms,176438,DJ Circadia,2024-02-07,1:15:45 AM,The Fourth Wall,Darkness Of Heart,Darkness Of Heart,1,0,Rock,ORCHARD - DevilDuck Records,,0,0,,,,,,,,,,,,
12232,44661,Circadian Rhythms,176438,DJ Circadia,2024-02-07,1:19:44 AM,Ismay,The Lonely Stallion,Desert Pavement,1,0,Folk,ISMAY,859779343340,0,0,0.635,0.447,0.447,-7.975,1.0,0.0319,0.48,0.000665,0.0834,0.143,116.529,293483.0
12233,44662,Circadian Rhythms,176438,DJ Circadia,2024-02-07,1:27:21 AM,NIKI,24,24 - Single,1,0,Folk,88rising Music,197190588996,0,0,,,,,,,,,,,,
12234,44663,Circadian Rhythms,176438,DJ Circadia,2024-02-07,1:31:24 AM,The Big Moon,Summer Still Comes,Here Is Everything (Deluxe),1,0,Rock,Universal Music Operations Limited,,0,0,0.627,0.481,0.481,-9.834,1.0,0.0315,0.338,0.00414,0.133,0.349,135.004,275511.0
