,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
35576,keeping it cool,142576,dj ac,2024-01-10,6:37:45 PM,Father Figuer,Open Season,F F,0,0,Rock,Father Figuer,659783577775,0,0,,,,,,,,,,,,
35577,keeping it cool,142576,dj ac,2024-01-10,6:40:39 PM,Gilbert Castellanos,Bilad as Sudan,Espérame En El Cielo,0,0,Jazz,Z Note Media,755491251492,0,0,0.476,0.734,0.734,-8.046,1.0,0.054,0.74,0.729,0.0753,0.523,137.769,401263.0
35578,keeping it cool,142576,dj ac,2024-01-10,6:47:19 PM,Miya Folick,Bad Thing,Bad Thing,0,0,,Nettwerk Music Group,067003373463,0,0,,,,,,,,,,,,
35579,keeping it cool,142576,dj ac,2024-01-10,6:50:38 PM,Yaeji,Passed Me By,Passed Me By,0,0,Electronic,MERLIN - XL Recordings,5059638398183,0,0,,,,,,,,,,,,
35580,keeping it cool,142576,dj ac,2024-01-10,7:02:07 PM,Arlo Parks,Devotion,Devotion,0,0,,Transgressive,5400863140083,0,0,,,,,,,,,,,,
35581,keeping it cool,142576,dj ac,2024-01-10,7:04:53 PM,Gerry Gibbs & Thrasher People,Living For the City/Overjoyed,Family,0,0,Jazz,MERLIN - Whaling City Sound,687606013827,0,0,,,,,,,,,,,,
35582,keeping it cool,142576,dj ac,2024-01-10,7:11:41 PM,Mayer Hawthorne,For All Time,For All Time,0,0,R&B/Soul,P&L Records,5054197660283,0,0,,,,,,,,,,,,
35583,keeping it cool,142576,dj ac,2024-01-10,7:14:41 PM,Tony Allen,Makoko,Tony Allen JID018,0,0,World,MERLIN - Jazz Is Dead,634457133037,0,0,,,,,,,,,,,,
35584,keeping it cool,142576,dj ac,2024-01-10,7:17:19 PM,The Altons,Float,Float,0,0,R&B/Soul,MERLIN - Penrose Records,634457125964,0,0,,,,,,,,,,,,
35585,keeping it cool,142576,dj ac,2024-01-10,7:21:18 PM,Community Breakfast,Novocaine,The Landscape Is the Only Thing That Never Changes,0,0,,Community Sound,198087830761,0,0,,,,,,,,,,,,
35586,keeping it cool,142576,dj ac,2024-01-10,7:25:09 PM,Theo Croker,THEO SAYS (feat. Ego Ella May & D'LEAU),THEO SAYS (feat. Ego Ella May & D'LEAU),0,0,Jazz,SME - Masterworks,196589387752,0,0,,,,,,,,,,,,
35587,keeping it cool,142576,dj ac,2024-01-10,7:41:29 PM,Garrett Saracho,73,Garrett Saracho JID015,0,0,,MERLIN - Jazz Is Dead,634457117211,0,0,,,,,,,,,,,,
35588,keeping it cool,142576,dj ac,2024-01-10,7:46:04 PM,Anchorsong,Windmills,Mirage,0,0,,BELIEVE - Tru Thoughts,5060609663742,0,0,,,,,,,,,,,,
35589,keeping it cool,142576,dj ac,2024-01-10,7:47:47 PM,Hilario Duran and his Latin Jazz Big Band,Pacá por Juanito,Cry Me A River,0,0,Jazz,MERLIN - Alma Records,880504908329,0,0,0.656,0.81,0.81,-7.924,0.0,0.0412,0.772,0.906,0.0828,0.821,112.912,302416.0
35590,keeping it cool,142576,dj ac,2024-01-10,7:52:47 PM,Gerry Gibbs,Townhouse 3,Songs From My Father,0,0,Jazz,MERLIN - Whaling City Sound,687606013124,0,0,0.388,0.58,0.58,-15.514,1.0,0.0347,0.657,0.944,0.105,0.785,151.486,306633.0
35591,keeping it cool,142576,dj ac,2024-01-10,7:59:07 PM,Joanna Newsom,"Time, As a Symptom",Divers,0,0,Folk,MERLIN - Drag City Records,781484056126,0,0,,,,,,,,,,,,
35592,wake up the dead!,160050,Count Emily,2024-01-10,8:04:33 PM,Jesse Davis,Street of Dreams - Live,Live at Smalls Jazz Club,0,0,Jazz,ORCHARD - Cellar Live,197187084333,0,0,,,,,,,,,,,,
35593,wake up the dead!,160050,Count Emily,2024-01-10,8:11:57 PM,Christopher McBride,"Stand Your Ground, Pt. 1 (Suspicion)",Ramon,0,0,Jazz,DISTROKID,197547219887,0,0,0.487,0.332,0.332,-14.718,0.0,0.0476,0.578,0.928,0.112,0.274,119.678,281507.0
35594,wake up the dead!,160050,Count Emily,2024-01-10,8:22:57 PM,Devendra Banhart,Twin,Twin,0,0,Rock,Mexican Summer,4526180658054,0,0,,,,,,,,,,,,
