,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB
32459,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:03:25 AM,Nicola Conte,Dance Of Love And Peace (Part 1),Umoja,,,,BELIEVE - Far Out Recordings,3617220528039,0
32460,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:07:20 AM,Willverine,Amy Winehouse,Amy Winehouse,,,R&B/Soul,DISTROKID - Willverine Music,196832213401,0
32461,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:10:47 AM,Billy Childs,The Great Western Loop,The Winds of Change,,,Jazz,ORCHARD - Mack Avenue Records,673203120068,0
32462,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:17:07 AM,Carlos Ward,'Nette,"Blackwell, Ed: Ed Blackwell Project, Vol. 1",,,Classical,Enja,63757708926,0
32463,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:25:41 AM,Color Channel,Gough Rd,Gough Rd,,,Rock,JUSTANCE,859773734205,0
32464,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:29:35 AM,Young Fathers,Geronimo,Geronimo,,,,MERLIN - Ninja Tune,5054429158823,0
32465,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:33:06 AM,Michael Chorney,Ephrata,Ephrata,,,,3868474 Records DK,197544875253,0
32466,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:38:26 AM,Eden Ben Zaken,Ba Li Od,Taamin Li,,,,Eden Ben Zaken,7294276308240,0
32467,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:41:50 AM,Pierre Kwenders,Church (Likambo),José Louis And The Paradox Of Love,,,World,UMG - Arts & Crafts Productions Inc.,00827590205123,0
32468,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:45:41 AM,Fabiano do Nascimento,Etude 1,Etude 1,,,,BELIEVE - Far Out Recordings,3617227835857,0
32469,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:48:03 AM,Community Breakfast,Novocaine,The Landscape Is the Only Thing That Never Changes,,,,Community Sound,198087830761,0
32470,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:51:55 AM,Pierre Kwenders,Heartbeat,Heartbeat,,,World,UMG - Arts & Crafts Productions Inc.,0827590772250,0
32471,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:55:00 AM,EVM128,Gamma Riddim - Alex Phountzi Remix,Gamma Riddim Remixes,,,Electronic,CoOp Presents,5050580812895,0
32472,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:00:47 AM,Coco & Clair Clair,Love Me,Love Me,,,,Nice Girl World via Alternate Side and Many Hats Distribution,8720765042863,0
32473,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:03:08 AM,Hannah Jadagu,What You Did,What You Did,,,,Subpop Record Group,098787906394,0
32474,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:06:08 AM,Esther Rose,Chet Baker,Chet Baker,,,Folk,"MERLIN - New West Records, LLC",607396654734,0
32475,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:10:26 AM,Rahill,Fables,Fables,,,,Big Dada,5054429174588,0
32476,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:13:56 AM,Madi Diaz,Same Risk,Same Risk,,,,MERLIN - Anti/Epitaph,0045778799800,0
32477,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:17:24 AM,Meridian Brothers,Descarga profética,Meridian Brothers & El Grupo Renacimiento,,,,Ansonia Records,196922050084,0
32478,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:22:38 AM,PACKS,4th of July,4th of July,,,,MERLIN - Fire Talk,634457121614,0
32479,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:25:38 AM,Hurray For The Riff Raff,Alibi,Alibi,,,,"Hurray For The Riff Raff, LLC",075597902600,0
32480,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:28:24 AM,Kiwi jr.,Night Vision,Night Vision,,,,WMG - Subpop Record Group,098787904857,0
32481,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:31:46 AM,Alternate Skies,Our Current Local Conditions,24 Hour Forecast,,,,Tracking Waves,8720205369369,0
32482,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:33:12 AM,Harold Mabern,Dahomey Dance,Mabern Plays Coltrane,,,Jazz,ORCHARD - Smoke Sessions,196292485837,0
